ID1,HHID,HV201,HV202,HV204,HV205,HV206,HV207,HV208,HV209,HV210,HV211,HV212,HV213,HV214,HV215,HV216,HV217,HV218,HV219,HV220,HV221,HV225,HV226,HV227,HV228,HV234,HV235,HV236,HV237,HV237A,HV237B,HV237C,HV237D,HV237E,HV237F,HV237G,HV237H,HV237I,HV237J,HV237K,HV237X,HV237Z,HV238,HV239,HV240,HV241,HV242,HV243A,HV243B,HV243C,HV243D,HV244,HV245,HV246,HV246A,HV246B,HV246C,HV246D,HV246E,HV246F,HV246G,HV246H,HV246I,HV246J,HV246K,HV247,HV248,HV249,HV250,HV251,HML1,HML1A,HML2,SHVER,SHREGION,SHSEMES,SHPROVIN,SHDISTRI,SHTOTH,SH42,SH43,SH48,SH49,SH50,SH51,SH52,SH56,SH58,SH59,SH60,SH61A,SH61B,SH61C,SH61D,SH61E,SH61J,SH61K,SH61L,SH61M,SH61N,SH61O,SH61P,SH61Q,SH61R,SH61S,SH63,SH64,SH66,SH69,SH70,SH71,SH72,SXH73,SH76A,SH76B,SH76C,SH76D,SH76E,SH77F,SH78,SH79,SH224,SH225U,SH225,SH227,QH227A,QH227B,HV270,HV271
2024,      325600801,11, ,996,12,1,1,1,1,0,0,0,34,31,31,1,2,1,1,35,0,1,1, , ,994, , ,1,1,0,0,0,0,0,0, , , , ,0, , , , , ,1,1, ,0,0,0, ,0,0, ,0,0,0, ,0,0,0,0, , , , , , , , , ,0,3,1,1,1,1,1, ,1,4,1, , , , , , ,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0,0, , , ,1,1,1, ,1,1,0,0,1,0,0, ,9, , ,1,1,1,4,1.11446282353819
2024,      325601301,11, ,996,12,1,0,1,0,0,0,0,11,21,34,1,4,1,1,34,0,1,2, , ,994, , ,1,1,0,0,0,0,0,0, , , , ,0, , , , , ,0,1, ,0,0,0, ,0,0, ,0,0,0, ,0,0,0,0, , , , , , , , , ,0,3,1,1,1,1,1, ,1,3,1, , , , , , ,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0, , , ,1,1,1, ,0, , , , ,0,0, ,9, , ,1,1,1,1,-1.00193835694831
2024,      325601701,11, ,996,11,1,1,1,0,0,0,0,34,21,34,3,4,1,1,65,0,0,2, , ,994, , ,1,1,0,0,0,0,0,0, , , , ,0, , , , , ,1,1, ,0,0,1,1,0,0, ,0,0,0, ,0,0,0,0, , , , , , , , , ,0,3,1,1,1,1,1, ,1,3,1, , , , , , ,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,6,0, ,1,4,3, ,1,1,0,0,1,0,1,10,9, , ,1,1,1,2,.189202073869901
2024,      325602801,11, ,996,12,1,0,0,0,0,0,0,34,31,34,1,4,1,2,34,0,0,2, , ,994, , ,1,1,0,0,0,0,0,0, , , , ,0, , , , , ,0,1, ,0,0,0, ,1,0, ,0,0,0, ,6,0,0,0, , , , , , , , , ,0,3,1,1,1,1,0, ,1,3,1, , , , , , ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0, , , ,1,1,1, ,1,0,0,0,1,0,0, ,9, , ,2,1,1,2,-.335946695094822
2024,      325603201,11, ,996,11,1,1,1,1,0,0,0,33,31,31,2,4,1,1,63,0,0,2, , ,994, , ,1,1,0,0,0,0,0,0, , , , ,0, , , , , ,1,1, ,0,0,0, ,1,0, ,0,0,0, ,15,0,0,0, , , , , , , , , ,0,3,1,1,1,1,1, ,1,3,1, , , , , , ,1,1,1,1,0,1,1,1,0,0,1,1,1,0,1,0, , , ,1,3,2, ,1,1,0,0,1,0,0, ,9, , ,1,1,1,5,1.6496464548523
2024,      325605001,11, ,996,11,1,0,1,0,0,0,0,34,31,34,1,1,1,2,22,0,0,2, , ,994, , ,1,1,0,0,0,0,0,0, , , , ,0, , , , , ,1,1, ,0,0,0, ,0,0, ,0,0,0, ,0,0,0,0, , , , , , , , , ,0,3,1,1,1,1,0, ,1,3,0, , , , , , ,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0, , , ,1,1,1, ,1,1,0,0,1,0,0, ,9, , ,1,1,1,2,.279444160930231
2024,      325605601,71,11,996,11,1,0,0,0,0,0,0,33,31,31,1,1,1,2,17,0,0,2, , ,994, , ,1,0,0,0,0,0,0,1, , , , ,0, , , , , ,0,1, ,0,0,0, ,0,0, ,0,0,0, ,0,0,0,0, , , , , , , , , ,0,3,1,1,1,1,1, , , , , , , , , , ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0, , , ,1,1,1, ,1,1,0,0,0,0,0, ,9, , ,5, , ,3,.478987358942954
2024,      325605801,11, ,996,11,1,1,1,1,0,0,0,34,31,31,2,2,1,1,40,0,0,2, , ,994, , ,1,1,0,0,0,0,0,0, , , , ,0, , , , , ,1,1, ,0,0,0, ,0,0, ,0,0,0, ,0,0,0,0, , , , , , , , , ,0,3,1,1,1,1,1, ,1,3,1, , , , , , ,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0, , , ,1,5,2, ,1,1,0,0,1,0,0, ,9, , ,1,1,1,5,1.76270269341677
2024,      325606101,11, ,996,11,1,1,1,1,0,1,0,34,21,34,3,4,1,1,35,0,0,2, , ,994, , ,1,1,0,0,0,0,0,0, , , , ,0, , , , , ,1,1, ,0,0,0, ,0,0, ,0,0,0, ,0,0,0,0, , , , , , , , , ,0,3,1,1,1,1,1, ,1,3,1, , , , , , ,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,1,8,0, ,1,4,3, ,1,1,1,0,0,0,0, ,9, , ,9, , ,2,.252349960302337
2024,      325701001,12, ,3,12,1,1,1,1,0,0,0,34,21,34,2,2,1,2,40,0,0,2, , ,994, ,1,1,1,0,0,0,0,0,0, , , , ,0, , , , , ,1,1, ,0,0,0, ,0,0, ,0,0,0, ,0,0,0,0, , , , , , , , , ,0,3,1,1,1,1,1, ,1,3,1, , , , , , ,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0, , , ,1,2,2, ,1,1,0,0,0,0,0, ,9, , ,1,1,1,2,-.245284034036999
