pdf_name,mes,mes_num,dia,oferta_lima,oferta_sierra,oferta_costa_norte,oferta_selva,oferta_costa_sur,oferta_total
14_abril_2026.pdf,abr,4,1,137185.0,57054.0,12849.0,5502.0,0.0,212591.0
14_abril_2026.pdf,abr,4,2,75254.0,55612.0,20953.0,3008.0,0.0,154827.0
14_abril_2026.pdf,abr,4,3,53715.0,0.0,0.0,0.0,0.0,53715.0
14_abril_2026.pdf,abr,4,4,79949.0,101115.0,22699.0,8908.0,0.0,212672.0
14_abril_2026.pdf,abr,4,5,21583.0,0.0,0.0,0.0,0.0,21583.0
14_abril_2026.pdf,abr,4,6,105547.0,101139.0,47412.0,5792.0,0.0,259891.0
14_abril_2026.pdf,abr,4,7,162904.0,47847.0,7394.0,3508.0,0.0,221653.0
14_abril_2026.pdf,abr,4,8,99192.0,56747.0,20459.0,13030.0,0.0,189428.0
14_abril_2026.pdf,abr,4,9,92371.0,48377.0,28095.0,3384.0,0.0,172227.0
14_abril_2026.pdf,abr,4,10,124160.0,63354.0,9709.0,4406.0,0.0,201628.0
14_abril_2026.pdf,abr,4,11,77101.0,65503.0,9770.0,1709.0,0.0,154083.0
14_abril_2026.pdf,abr,4,12,21221.0,0.0,0.0,0.0,0.0,21221.0
14_abril_2026.pdf,abr,4,13,99533.0,94267.0,34383.0,9997.0,0.0,238180.0
15_abril_2026.pdf,abr,4,2,75254.0,55612.0,20953.0,3008.0,0.0,154827.0
15_abril_2026.pdf,abr,4,3,53715.0,0.0,0.0,0.0,0.0,53715.0
15_abril_2026.pdf,abr,4,4,79949.0,101115.0,22699.0,8908.0,0.0,212672.0
15_abril_2026.pdf,abr,4,5,21583.0,0.0,0.0,0.0,0.0,21583.0
15_abril_2026.pdf,abr,4,6,105547.0,101139.0,47412.0,5792.0,0.0,259891.0
15_abril_2026.pdf,abr,4,7,162904.0,47847.0,7394.0,3508.0,0.0,221653.0
15_abril_2026.pdf,abr,4,8,99192.0,56747.0,20459.0,13030.0,0.0,189428.0
15_abril_2026.pdf,abr,4,9,92371.0,48377.0,28095.0,3384.0,0.0,172227.0
15_abril_2026.pdf,abr,4,10,124160.0,63354.0,9709.0,4406.0,0.0,201628.0
15_abril_2026.pdf,abr,4,11,77101.0,65503.0,9770.0,1709.0,0.0,154083.0
15_abril_2026.pdf,abr,4,12,21221.0,0.0,0.0,0.0,0.0,21221.0
15_abril_2026.pdf,abr,4,13,99533.0,94267.0,34383.0,9997.0,0.0,238180.0
15_abril_2026.pdf,abr,4,14,240073.0,126941.0,8554.0,14424.0,0.0,389991.0
15_diciembre_2025.pdf,dic,12,2,144395.0,77229.0,13013.0,14447.0,0.0,249083.0
15_diciembre_2025.pdf,dic,12,3,117204.0,19073.0,12692.0,41.0,0.0,149010.0
15_diciembre_2025.pdf,dic,12,4,96320.0,54806.0,28191.0,12194.0,0.0,191511.0
15_diciembre_2025.pdf,dic,12,5,103435.0,72976.0,5364.0,3340.0,0.0,185116.0
15_diciembre_2025.pdf,dic,12,6,79757.0,59124.0,8938.0,9841.0,0.0,157661.0
15_diciembre_2025.pdf,dic,12,7,25048.0,15275.0,0.0,0.0,0.0,40323.0
15_diciembre_2025.pdf,dic,12,8,116481.0,0.0,43962.0,0.0,0.0,160443.0
15_diciembre_2025.pdf,dic,12,9,32906.0,94330.0,6935.0,5215.0,0.0,139386.0
15_diciembre_2025.pdf,dic,12,10,130625.0,58624.0,9646.0,4179.0,0.0,203075.0
15_diciembre_2025.pdf,dic,12,11,92645.0,72682.0,26586.0,9168.0,0.0,201081.0
15_diciembre_2025.pdf,dic,12,12,51496.0,0.0,0.0,0.0,0.0,51496.0
15_diciembre_2025.pdf,dic,12,13,92293.0,54667.0,6089.0,6703.0,0.0,159751.0
15_diciembre_2025.pdf,dic,12,14,22236.0,0.0,0.0,0.0,0.0,22236.0
15_diciembre_2025.pdf,dic,12,15,,,,,,
16_abril_2026.pdf,abr,4,3,53715.0,0.0,0.0,0.0,0.0,53715.0
16_abril_2026.pdf,abr,4,4,79949.0,101115.0,22699.0,8908.0,0.0,212672.0
16_abril_2026.pdf,abr,4,5,21583.0,0.0,0.0,0.0,0.0,21583.0
16_abril_2026.pdf,abr,4,6,105547.0,101139.0,47412.0,5792.0,0.0,259891.0
16_abril_2026.pdf,abr,4,7,162904.0,47847.0,7394.0,3508.0,0.0,221653.0
16_abril_2026.pdf,abr,4,8,99192.0,56747.0,20459.0,13030.0,0.0,189428.0
16_abril_2026.pdf,abr,4,9,92371.0,48377.0,28095.0,3384.0,0.0,172227.0
16_abril_2026.pdf,abr,4,10,124160.0,63354.0,9709.0,4406.0,0.0,201628.0
16_abril_2026.pdf,abr,4,11,77101.0,65503.0,9770.0,1709.0,0.0,154083.0
16_abril_2026.pdf,abr,4,12,21221.0,0.0,0.0,0.0,0.0,21221.0
16_abril_2026.pdf,abr,4,13,99533.0,94267.0,34383.0,9997.0,0.0,238180.0
16_abril_2026.pdf,abr,4,14,240073.0,126941.0,8554.0,14424.0,0.0,389991.0
16_abril_2026.pdf,abr,4,15,82298.0,54091.0,8761.0,6152.0,0.0,151301.0
16_diciembre_2025.pdf,dic,12,3,117204.0,19073.0,12692.0,41.0,0.0,149010.0
16_diciembre_2025.pdf,dic,12,4,96320.0,54806.0,28191.0,12194.0,0.0,191511.0
16_diciembre_2025.pdf,dic,12,5,103435.0,72976.0,5364.0,3340.0,0.0,185116.0
16_diciembre_2025.pdf,dic,12,6,79757.0,59124.0,8938.0,9841.0,0.0,157661.0
16_diciembre_2025.pdf,dic,12,7,25048.0,15275.0,0.0,0.0,0.0,40323.0
16_diciembre_2025.pdf,dic,12,8,116481.0,0.0,43962.0,0.0,0.0,160443.0
16_diciembre_2025.pdf,dic,12,9,32906.0,94330.0,6935.0,5215.0,0.0,139386.0
16_diciembre_2025.pdf,dic,12,10,130625.0,58624.0,9646.0,4179.0,0.0,203075.0
16_diciembre_2025.pdf,dic,12,11,92645.0,72682.0,26586.0,9168.0,0.0,201081.0
16_diciembre_2025.pdf,dic,12,12,51496.0,0.0,0.0,0.0,0.0,51496.0
16_diciembre_2025.pdf,dic,12,13,92293.0,54667.0,6089.0,6703.0,0.0,159751.0
16_diciembre_2025.pdf,dic,12,14,22236.0,0.0,0.0,0.0,0.0,22236.0
16_diciembre_2025.pdf,dic,12,15,78707.0,72182.0,25392.0,13606.0,0.0,189886.0
16_diciembre_2025.pdf,dic,12,16,,,,,,
16_enero_2026.pdf,ene,1,3,51389.0,0.0,0.0,0.0,0.0,51389.0
16_enero_2026.pdf,ene,1,4,20721.0,0.0,0.0,0.0,0.0,20721.0
16_enero_2026.pdf,ene,1,5,87880.0,88002.0,25624.0,8080.0,0.0,209586.0
16_enero_2026.pdf,ene,1,6,151414.0,101184.0,7923.0,1200.0,0.0,261720.0
16_enero_2026.pdf,ene,1,7,94925.0,71888.0,22595.0,2574.0,0.0,191981.0
16_enero_2026.pdf,ene,1,8,87107.0,72740.0,23360.0,8130.0,0.0,191337.0
16_enero_2026.pdf,ene,1,9,97815.0,132123.0,6572.0,6727.0,0.0,243237.0
16_enero_2026.pdf,ene,1,10,99138.0,88362.0,26020.0,5323.0,0.0,218844.0
16_enero_2026.pdf,ene,1,11,37230.0,0.0,0.0,0.0,0.0,37230.0
16_enero_2026.pdf,ene,1,12,102956.0,123295.0,37069.0,3018.0,0.0,266338.0
16_enero_2026.pdf,ene,1,13,134284.0,115941.0,14602.0,1801.0,0.0,266627.0
16_enero_2026.pdf,ene,1,14,80678.0,74169.0,7689.0,3055.0,0.0,165591.0
16_enero_2026.pdf,ene,1,15,87203.0,52603.0,19402.0,2268.0,0.0,161476.0
16_enero_2026.pdf,ene,1,16,,,,,,
16_setiembre_2025.pdf,sep,9,3,286212.0,115589.0,0.0,10368.0,6149.0,418318.0
16_setiembre_2025.pdf,sep,9,4,156664.0,53435.0,0.0,3040.0,15899.0,229038.0
16_setiembre_2025.pdf,sep,9,5,103191.0,62557.0,0.0,9598.0,9944.0,185290.0
16_setiembre_2025.pdf,sep,9,6,97955.0,72622.0,0.0,6363.0,4969.0,181909.0
16_setiembre_2025.pdf,sep,9,7,24295.0,0.0,0.0,0.0,0.0,24295.0
16_setiembre_2025.pdf,sep,9,8,122354.0,85307.0,41931.0,4035.0,0.0,253628.0
16_setiembre_2025.pdf,sep,9,9,149803.0,132108.0,6940.0,4673.0,0.0,293524.0
16_setiembre_2025.pdf,sep,9,10,152889.0,88778.0,11028.0,506.0,0.0,253201.0
16_setiembre_2025.pdf,sep,9,11,113487.0,74382.0,4536.0,8426.0,22161.0,222992.0
16_setiembre_2025.pdf,sep,9,12,64824.0,0.0,12096.0,0.0,0.0,76920.0
16_setiembre_2025.pdf,sep,9,13,90027.0,84179.0,13974.0,7478.0,0.0,195659.0
16_setiembre_2025.pdf,sep,9,14,26398.0,27143.0,0.0,0.0,0.0,53541.0
16_setiembre_2025.pdf,sep,9,15,132789.0,61377.0,61733.0,3471.0,0.0,259370.0
16_setiembre_2025.pdf,sep,9,16,,,,,,
17_abril_2026.pdf,abr,4,4,79949.0,101115.0,22699.0,8908.0,0.0,212672.0
17_abril_2026.pdf,abr,4,5,21583.0,0.0,0.0,0.0,0.0,21583.0
17_abril_2026.pdf,abr,4,6,105547.0,101139.0,47412.0,5792.0,0.0,259891.0
17_abril_2026.pdf,abr,4,7,162904.0,47847.0,7394.0,3508.0,0.0,221653.0
17_abril_2026.pdf,abr,4,8,99192.0,56747.0,20459.0,13030.0,0.0,189428.0
17_abril_2026.pdf,abr,4,9,92371.0,48377.0,28095.0,3384.0,0.0,172227.0
17_abril_2026.pdf,abr,4,10,124160.0,63354.0,9709.0,4406.0,0.0,201628.0
17_abril_2026.pdf,abr,4,11,77101.0,65503.0,9770.0,1709.0,0.0,154083.0
17_abril_2026.pdf,abr,4,12,21221.0,0.0,0.0,0.0,0.0,21221.0
17_abril_2026.pdf,abr,4,13,99533.0,94267.0,34383.0,9997.0,0.0,238180.0
17_abril_2026.pdf,abr,4,14,240073.0,126941.0,8554.0,14424.0,0.0,389991.0
17_abril_2026.pdf,abr,4,15,82298.0,54091.0,8761.0,6152.0,0.0,151301.0
17_abril_2026.pdf,abr,4,16,83496.0,35894.0,23535.0,3749.0,0.0,146673.0
17_diciembre_2025.pdf,dic,12,4,96320.0,54806.0,28191.0,12194.0,0.0,191511.0
17_diciembre_2025.pdf,dic,12,5,103435.0,72976.0,5364.0,3340.0,0.0,185116.0
17_diciembre_2025.pdf,dic,12,6,79757.0,59124.0,8938.0,9841.0,0.0,157661.0
17_diciembre_2025.pdf,dic,12,7,25048.0,15275.0,0.0,0.0,0.0,40323.0
17_diciembre_2025.pdf,dic,12,8,116481.0,0.0,43962.0,0.0,0.0,160443.0
17_diciembre_2025.pdf,dic,12,9,46514.0,94330.0,6935.0,5215.0,0.0,152994.0
17_diciembre_2025.pdf,dic,12,10,148769.0,58624.0,14182.0,4179.0,0.0,225755.0
17_diciembre_2025.pdf,dic,12,11,100961.0,72682.0,26586.0,9168.0,0.0,209397.0
17_diciembre_2025.pdf,dic,12,12,68884.0,0.0,0.0,0.0,0.0,68884.0
17_diciembre_2025.pdf,dic,12,13,107791.0,54667.0,6089.0,13554.0,0.0,182100.0
17_diciembre_2025.pdf,dic,12,14,22236.0,0.0,0.0,0.0,0.0,22236.0
17_diciembre_2025.pdf,dic,12,15,118019.0,72182.0,35878.0,13606.0,0.0,239684.0
17_diciembre_2025.pdf,dic,12,16,97606.0,53334.0,10522.0,1497.0,0.0,162960.0
17_diciembre_2025.pdf,dic,12,17,,,,,,
17_febrero_2026.pdf,feb,2,4,90690.0,97244.0,18179.0,281.0,0.0,206393.0
17_febrero_2026.pdf,feb,2,5,90796.0,72881.0,9238.0,3955.0,0.0,176872.0
17_febrero_2026.pdf,feb,2,6,96154.0,70202.0,9732.0,2494.0,0.0,178582.0
17_febrero_2026.pdf,feb,2,7,81714.0,58672.0,8509.0,6293.0,0.0,155188.0
17_febrero_2026.pdf,feb,2,8,31978.0,0.0,0.0,0.0,0.0,31978.0
