ID1,HHID,NRO_ORDEN_ID,QH30M,QH31M,QH32M_M,QH32M_Y,QH33M
2024,      343106701,1,2,79,8,2020, 
2024,      343111001,1,1,58,1,2020, 
2024,      343111001,2,2,98,9,2023, 
2024,      343309401,1,2,87,1,2019, 
2024,      343405001,1,1,76,12,2020, 
2024,      343517801,1,2,54,3,2021, 
2024,      344000301,1,2,72,1,2021, 
2024,      344001901,1,1,42,7,2020, 
2024,      344201801,1,2,2,10,2022, 
2024,      344202001,1,1,65,10,2020, 
2024,      344608001,1,2,70,3,2019, 
2024,      344608601,1,1,0,2,2023, 
2024,      344701501,1,1,98,9,2019, 
2024,      344804101,1,1,24,4,2022, 
2024,      345006401,1,2,93,5,2019, 
2024,      345101901,1,2,71,8,2021, 
2024,      345407601,1,1,64,5,2020, 
2024,      345411702,1,1,65,4,2023, 
2024,      345417801,1,2,72,5,2021, 
2024,      345506501,1,1,55,5,2022, 
2024,      345506601,1,1,63,12,2021, 
2024,      345803001,1,2,91,1,2022, 
2024,      345805401,1,2,72,5,2021, 
2024,      345811101,1,1,59,3,2021, 
2024,      346014101,1,2,58,12,2019, 
2024,      346101901,1,2,50,6,2020, 
2024,      346101901,2,2,1,6,2023, 
2024,      346800701,1,1,49,9,2022, 
2024,      346801201,1,2,78,7,2019, 
2024,      346801201,2,1,85,1,2022, 
2024,      347005601,1,2,68,2,2023, 
2024,      347109001,1,1,75,4,2021, 
2024,      347205101,1,1,74,4,2021, 
2024,      347208101,1,2,67,12,2020, 
2024,      347208101,2,1,73,12,2020, 
2024,      347309201,1,2,85,10,2021, 
2024,      347504701,1,1,57,2,2019, 
2024,      347607201,1,2,34,9,2022,4
2024,      347609601,1,2,85,1,2024, 
2024,      347915901,1,1,32,8,2020, 
2024,      348001501,1,1,35,1,2022, 
2024,      348210901,1,1,75,12,2020, 
2024,      348403601,1,2,78,5,2019, 
2024,      348701001,1,1,82,2,2022, 
2024,      348704101,1,2,65,3,2019, 
2024,      348707401,1,1,70,7,2020, 
2024,      348908401,1,1,96,2,2021, 
2024,      348916101,1,2,83,9,2020, 
2024,      348916101,2,1,83,12,2023, 
2024,      349109501,1,1,98,12,2023, 
2024,      349110001,1,1,65,2,2022, 
2024,      349309801,1,2,83,12,2023, 
2024,      349413501,1,1,59,3,2019, 
2024,      349503401,1,1,60,9,2019, 
2024,      349610401,1,1,70,7,2021, 
2024,      349702301,1,2,68,8,2022, 
2024,      349805301,1,2,62,8,2020, 
2024,      349805701,1,1,88,12,2020, 
2024,      349806701,1,1,59,1,2021, 
2024,      349812101,1,2,85,4,2023, 
2024,      349904301,1,2,98,12,2019, 
2024,      349906201,1,1,88,7,2023, 
2024,      350205001,1,1,3,12,2019, 
2024,      350706401,1,1,55,1,2021, 
2024,      350706401,2,1,19,2,2021, 
2024,      350801101,1,1,40,10,2019, 
2024,      351102401,1,1,90,4,2023, 
2024,      351102401,2,2,89,11,2023, 
2024,      351203601,1,2,71,3,2021, 
2024,      351205701,1,1,49,10,2022, 
2024,      351210201,1,2,65,7,2023, 
2024,      351210202,1,2,70,5,2020, 
2024,      351210203,1,1,62,4,2021, 
2024,      351305001,1,2,71,4,2023, 
2024,      351305001,2,1,81,3,2024, 
2024,      351309901,1,2,62,4,2021, 
2024,      351311901,1,2,68,12,2020, 
2024,      351311901,2,1,70,1,2021, 
2024,      351606601,1,1,71,5,2023, 
2024,      351716201,1,2,92,1,2019, 
2024,      351802301,1,2,93,12,2021, 
2024,      351912601,1,2,67,6,2023, 
2024,      352111001,1,2,84,3,2022, 
2024,      352118001,1,2,68,1,2021, 
2024,      352210901,1,1,73,12,2021, 
2024,      352400401,1,2,80,4,2020, 
